0.0,0.0,0.960544692876,0.2943344859036,1.270418,279.45,9.209947409062199e-07,0.016384187786000003,0.0,0.0
10.0,0.0,0.3042880166316,0.0932413178756,0.40245187,228.01,2.9175910480598493e-07,0.005190296569185,0.0,0.0
20.0,0.0,0.0680621511444,0.0208559132636,0.090019129,227.25,6.52597298228673e-08,0.0011609486691649999,0.0,0.0
30.0,0.0,0.01489743462246,0.00456493959848,0.019703371,238.63,1.4284040094616499e-08,0.0002541082838365,0.0,0.0
40.0,0.0,0.0034686743991119997,0.0010628869569300002,0.0045876745,272.01,3.3258535563756496e-09,5.916581900435e-05,0.0,0.0
50.0,0.0,0.001005433213854,0.0003080894173186,0.0013297878,281.3,9.640350661560399e-10,1.71498608502e-05,0.0,0.0
60.0,0.0,0.0003154306825026,9.66557087156e-05,0.00041718918,260.99,3.02442984259635e-10,5.38035927951e-06,0.0,0.0
70.0,0.0,9.22785194952e-05,2.8551062347820003e-05,0.00012232101,226.63,8.796889467590899e-11,1.572712037385e-06,0.0,0.0
80.0,7.1684540585e-11,2.346089323698e-05,7.30045272934e-06,3.1139272e-05,166.25,2.2004668864835898e-11,3.985294362175e-07,7.6146341166e-14,2.90919431898e-15
90.0,3.58163701242e-09,2.921562431784e-06,8.88140814142e-07,3.8587323e-06,137.49,2.66450171139041e-12,4.80188239128e-08,1.27189483794e-13,3.9243919866599995e-15
100.0,3.40328636534e-09,2.630360403036e-07,7.24198301306e-08,3.4234657e-07,198.81,2.8383876402416497e-13,3.718268922495e-09,2.4642512064e-14,4.05882668076e-15
110.0,1.58600579878e-09,4.7487690968999996e-08,1.111749249e-08,6.0678779e-08,295.41,6.11979647077738e-14,5.29124616721e-10,1.07302480974e-14,8.38807738128e-15
120.0,7.2769536865e-10,1.3609327478279999e-08,2.61595259808e-09,1.7070626e-08,413.08,1.99878751769099e-14,1.29473939899e-10,5.5786644270000004e-15,2.188192578528e-14
130.0,3.9981586891400003e-10,5.6034982717799995e-09,9.02888634048e-10,6.9502053e-09,501.89,1.14473237110165e-14,4.88024047736e-11,3.2254183368e-15,5.829892306769999e-14
140.0,2.440531573791e-10,2.735520156786e-09,3.940793575586e-10,3.3918341e-09,568.71,8.7781510549848e-15,2.04219421879e-11,1.9966072536e-15,1.312652273844e-13
150.0,1.599791282245e-10,1.471134029382e-09,2.015710658508e-10,1.8406269e-09,621.99,7.473181760804799e-15,8.983457176e-12,1.3286779558200001e-15,2.38678299099e-13
160.0,1.107530489101e-10,8.4379418862e-10,1.135898758268e-10,1.071941e-09,664.52,6.6264923729563995e-15,4.1857292131e-12,9.582956964e-16,3.5520279565199997e-13
170.0,7.986810643e-11,5.06302005036e-10,6.75577131328e-11,6.5578409e-10,698.49,5.9944951588950496e-15,2.05356098638e-12,7.466304994200001e-16,4.46819438436e-13
180.0,5.93267331629e-11,3.139353706962e-10,4.140752970322e-11,4.1593604e-10,725.64,5.4891093437975e-15,1.04976928545e-12,6.210994491e-16,4.92856884237e-13
190.0,4.50152788886e-11,1.994824369782e-10,2.583855358226e-11,2.7120747e-10,747.35,5.068537360683389e-15,5.539620393945e-13,5.436454109400001e-16,4.93149110313e-13
200.0,3.4687522354e-11,1.291459091706e-10,1.6313229372360002e-11,1.8079284e-10,764.73,4.70891782540456e-15,2.99602438777e-13,4.938980983200001e-16,4.603923209219999e-13
210.0,2.70373554515e-11,8.48305318188e-11,1.03858160564e-11,1.2275428e-10,778.64,4.3923178783673095e-15,1.65180146684e-13,4.6061445852e-16,4.09859933817e-13
220.0,2.12589452804e-11,5.63615390778e-11,6.6547014125e-12,8.4672172e-11,789.79,4.115096845330119e-15,9.2464528971e-14,4.3738166538000003e-16,3.5357261886e-13
230.0,1.682917193617e-11,3.778959553518e-11,4.2862322683020004e-12,5.9224001e-11,798.73,3.86585468894259e-15,5.239432761065e-14,4.2043052376e-16,2.98961835882e-13
240.0,1.33941303014e-11,2.5524722919659998e-11,2.772834877532e-12,4.1950155e-11,805.91,3.6395513856956194e-15,2.998357986735e-14,4.074885117e-16,2.49726114768e-13
250.0,1.070631928172e-11,1.7344643797679998e-11,1.800585438688e-12,3.006222e-11,811.67,3.4324231685936496e-15,1.730052156555e-14,3.9715576344e-16,2.071645450968e-13
260.0,8.58804230959e-12,1.184499091356e-11,1.173162216942e-12,2.1778754e-11,816.3,3.2416094604006498e-15,1.004806692765e-14,3.8853995328000003e-16,1.712651740683e-13
270.0,6.90892262952e-12,8.123005257419999e-12,7.6662133705e-13,1.5940499e-11,820.02,3.0648932622485e-15,5.86904842849e-15,3.8111884344000003e-16,1.41408858732e-13
280.0,5.57162539526e-12,5.59030251072e-12,5.02301870495e-13,1.1781452e-11,823.02,2.90052648422143e-15,3.444663050815e-15,3.7451025972000003e-16,1.1676706931579999e-13
290.0,4.50243143253e-12,3.858983585076e-12,3.299182088088e-13,8.7884726e-12,825.43,2.7471102423052497e-15,2.03015229357e-15,3.6847923948e-16,9.65026632399e-14
300.0,3.64480191461e-12,2.670893257602e-12,2.17178609817e-13,6.6137412e-12,827.37,2.60350293761044e-15,1.20083623634e-15,3.6291670488e-16,7.99693984929e-14
310.0,2.95502535939e-12,1.852886647908e-12,1.432596304434e-13,5.0185732e-12,828.94,2.46876369485288e-15,7.1257096801e-16,3.5760796542000003e-16,6.62521753047e-14
320.0,2.39908059801e-12,1.2880759306019999e-12,9.4681360857e-14,3.838172e-12,830.2,2.3421020485229597e-15,4.24049897119e-16,3.5255161494e-16,5.4974079254399995e-14
