-44.369,182.772,1518.256
-44.365,182.771,1518.171
-44.360,182.771,1518.086
-44.356,182.770,1518.001
-44.351,182.770,1517.916
-44.347,182.769,1517.831
-44.342,182.769,1517.746
-44.338,182.769,1517.661
-44.334,182.768,1517.576
-44.329,182.768,1517.491
-44.325,182.767,1517.406
-44.320,182.767,1517.321
-44.316,182.766,1517.236
-44.311,182.766,1517.151
-44.307,182.765,1517.066
-44.303,182.765,1516.981
-44.298,182.765,1516.896
-44.294,182.764,1516.811
-44.289,182.764,1516.726
-44.285,182.763,1516.641
-44.281,182.763,1516.556
-44.276,182.762,1516.471
-44.272,182.762,1516.386
-44.267,182.761,1516.301
-44.263,182.761,1516.216
-44.258,182.760,1516.132
-44.254,182.760,1516.047
-44.250,182.760,1515.962
-44.245,182.759,1515.877
-44.241,182.759,1515.792
-44.236,182.758,1515.707
-44.232,182.758,1515.622
-44.228,182.757,1515.537
-44.223,182.757,1515.453
-44.219,182.756,1515.368
-44.214,182.756,1515.283
-44.210,182.755,1515.198
-44.206,182.755,1515.113
-44.201,182.754,1515.028
-44.197,182.754,1514.944
-44.192,182.754,1514.859
-44.188,182.753,1514.774
-44.184,182.753,1514.689
-44.179,182.752,1514.604
-44.175,182.752,1514.520
-44.170,182.751,1514.435
-44.166,182.751,1514.350
-44.161,182.750,1514.265
-44.157,182.750,1514.180
-44.153,182.749,1514.096
-44.148,182.749,1514.011
-44.144,182.748,1513.926
-44.139,182.748,1513.842
-44.135,182.747,1513.757
-44.131,182.747,1513.672
-44.126,182.746,1513.587
-44.122,182.746,1513.503
-44.117,182.745,1513.418
-44.113,182.745,1513.333
-44.109,182.745,1513.249
-44.104,182.744,1513.164
-44.100,182.744,1513.079
-44.095,182.743,1512.995
-44.091,182.743,1512.910
-44.087,182.742,1512.825
-44.082,182.742,1512.741
-44.078,182.741,1512.656
-44.073,182.741,1512.571
-44.069,182.740,1512.487
-44.065,182.740,1512.402
-44.060,182.739,1512.317
-44.056,182.739,1512.233
-44.051,182.738,1512.148
-44.047,182.738,1512.064
-44.043,182.737,1511.979
-44.038,182.737,1511.894
-44.034,182.736,1511.810
-44.030,182.736,1511.725
-44.025,182.735,1511.641
-44.021,182.735,1511.556
-44.016,182.734,1511.472
-44.012,182.734,1511.387
-44.008,182.733,1511.302
-44.003,182.733,1511.218
-43.999,182.732,1511.133
-43.994,182.732,1511.049
